file,sheet,codice_rispondente,col_index,domanda,risposta,etichette
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",-,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,2,Quali sono i tuoi strumenti preferiti e perché?,Claude. Riassumere articoli,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,3,"In che modo utilizzi l’intelligenza artificiale per individualizzare l’insegnamento?
(Nota: l’individualizzazione si riferisce alle strategie didattiche che mirano ad assicurare a tutti gli studenti il raggiungimento delle competenze fondamentali del curricolo, attraverso una diversificazione dei percorsi di insegnamento.)",Feedback,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,4,"In che modo utilizzi l’intelligenza artificiale per personalizzare l’insegnamento?
(Nota: la personalizzazione si riferisce alle strategie didattiche finalizzate a garantire a ogni studente una propria forma di eccellenza cognitiva, offrendo possibilità elettive per coltivare le proprie potenzialità intellettive.)",Non so,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,5,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.","Riassumi questo articolo. Non essere sintetico, non usare liste e spiega ogni passaggio in maniera discorsiva",
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,6,Puoi fornire esempi specifici di come l'IA ha migliorato l'apprendimento dei tuoi studenti?,Traduzione testi da diverse lingue,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,7,In che modo l'intelligenza artificiale ti aiuta a migliorare l'apprendimento dei tuoi studenti?,Accesso in sintesi a diversi articoli,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,8,Quali difficoltà hai incontrato nell'implementazione di strumenti di IA nella tua didattica?,Non so,
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?","Pro: facilita la creazione di contenuti 
Contro: quando non riesce a comprendere il contenuto di un documento si perde tanto tempo",
Inseganti-futuri.xlsx,Risposte del modulo 1,Orgi03,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Non so,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",La uso in modo gratuito,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,2,Quali sono i tuoi strumenti preferiti e perché?,Mi piacerebbe utilizzare Algor education che crea riassunti e mappe dalle foto,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,3,"In che modo utilizzi l’intelligenza artificiale per individualizzare l’insegnamento?
(Nota: l’individualizzazione si riferisce alle strategie didattiche che mirano ad assicurare a tutti gli studenti il raggiungimento delle competenze fondamentali del curricolo, attraverso una diversificazione dei percorsi di insegnamento.)",Creando riassunti di alcuni argomenti ed esercitazioni,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,4,"In che modo utilizzi l’intelligenza artificiale per personalizzare l’insegnamento?
(Nota: la personalizzazione si riferisce alle strategie didattiche finalizzate a garantire a ogni studente una propria forma di eccellenza cognitiva, offrendo possibilità elettive per coltivare le proprie potenzialità intellettive.)",Creando riassunti di alcuni argomenti ed esercitazioni personalizzate,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,5,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.",Creami un riassunto sulla civiltà greca,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,6,Puoi fornire esempi specifici di come l'IA ha migliorato l'apprendimento dei tuoi studenti?,Velocizza il mio lavoro di tutor,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,7,In che modo l'intelligenza artificiale ti aiuta a migliorare l'apprendimento dei tuoi studenti?,Fornisce le informazioni più importanti,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,8,Quali difficoltà hai incontrato nell'implementazione di strumenti di IA nella tua didattica?,Inserimento input,
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?","Pro: ci dà la possibilità di accedere molto velocemente alle informazioni 
Contro: porterà il nostro cervello a lavorare di meno soprattutto per gli studenti che non lo utilizzano rispettando i limiti",
Inseganti-futuri.xlsx,Risposte del modulo 1,nati19,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?","Svolgere i compiti assegnati attraverso l'intelligenza artificiale, sicuramente è una risorsa utile ma va utilizzata con precauzione.",
Inseganti-futuri.xlsx,Risposte del modulo 1,Cara23,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,È uno steumento letale per la cognizione,
Inseganti-futuri.xlsx,Risposte del modulo 1,Cara23,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?",A b x,
Inseganti-futuri.xlsx,Risposte del modulo 1,Cara23,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Abc,
Inseganti-futuri.xlsx,Risposte del modulo 1,Lino15,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Non mi è mai capitato,
Inseganti-futuri.xlsx,Risposte del modulo 1,Lino15,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,Non la conosco molto bene e quindi non uso lA,
Inseganti-futuri.xlsx,Risposte del modulo 1,Lino15,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?","Pro percezione più realistico degli argomenti 
Contro scarsa immaginazione studenti",
Inseganti-futuri.xlsx,Risposte del modulo 1,Lino15,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Non saprei,
Inseganti-futuri.xlsx,Risposte del modulo 1,Nuti5,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Non sono abbastanza preparata,
Inseganti-futuri.xlsx,Risposte del modulo 1,Nuti5,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,Non sono molto preparata su questo,
Inseganti-futuri.xlsx,Risposte del modulo 1,Nuti5,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?",Non so,
Inseganti-futuri.xlsx,Risposte del modulo 1,Nuti5,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Italiano,
Inseganti-futuri.xlsx,Risposte del modulo 1,Toni23,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Non mi serve,
Inseganti-futuri.xlsx,Risposte del modulo 1,Toni23,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,Non mi serve,
Inseganti-futuri.xlsx,Risposte del modulo 1,Toni23,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?","I pro la velocità nel reperire informazioni, i contro il facile accesso senza impegno",
Inseganti-futuri.xlsx,Risposte del modulo 1,Toni23,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Non so rispondere,
Inseganti-futuri.xlsx,Risposte del modulo 1,Luca30,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)","""-""",
Inseganti-futuri.xlsx,Risposte del modulo 1,Luca30,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,"""-""",
Inseganti-futuri.xlsx,Risposte del modulo 1,Luca30,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?",Pro,
Inseganti-futuri.xlsx,Risposte del modulo 1,Luca30,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Non ho esperienze di insegnamento,
Inseganti-futuri.xlsx,Risposte del modulo 1,Urso12,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Preferisco pensare,
Inseganti-futuri.xlsx,Risposte del modulo 1,Urso12,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,Non crea personificazione nei programmi,
Inseganti-futuri.xlsx,Risposte del modulo 1,Urso12,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?",Facilità il lavoro ma limita il pensiero razionale e creativo,
Inseganti-futuri.xlsx,Risposte del modulo 1,Urso12,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?","Per la produzione e comprensione di testi, e per il pensiero logico-razionale",
Inseganti-futuri.xlsx,Risposte del modulo 1,AGNA12,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Non ne ho avuto mai necessità,
Inseganti-futuri.xlsx,Risposte del modulo 1,AGNA12,9,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nella didattica?,Non insegno ancora,
Inseganti-futuri.xlsx,Risposte del modulo 1,AGNA12,10,"In base alla tua esperienza, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nell'educazione?","Pro: Facilità di accesso e aiuto in alcuni campi.
Contro: Facilità di accesso e utilizzo eccessivo che sostituisce il mettersi in gioco.",
Inseganti-futuri.xlsx,Risposte del modulo 1,AGNA12,11,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate nell'insegnamento? E perché?",Nelle valutazioni sugli alunni,
Inseganti-futuri.xlsx,Risposte del modulo 1,Namo20/10/49,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Si,
Inseganti-futuri.xlsx,Risposte del modulo 1,Namo20/10/49,2,Quali sono i tuoi strumenti preferiti e perché?,Chatgpt,
Inseganti-futuri.xlsx,Risposte del modulo 1,Namo20/10/49,3,"In che modo utilizzi l’intelligenza artificiale per individualizzare l’insegnamento?
(Nota: l’individualizzazione si riferisce alle strategie didattiche che mirano ad assicurare a tutti gli studenti il raggiungimento delle competenze fondamentali del curricolo, attraverso una diversificazione dei percorsi di insegnamento.)",Nn utilizzo,
Inseganti-futuri.xlsx,Risposte del modulo 1,Namo20/10/49,4,"In che modo utilizzi l’intelligenza artificiale per personalizzare l’insegnamento?
(Nota: la personalizzazione si riferisce alle strategie didattiche finalizzate a garantire a ogni studente una propria forma di eccellenza cognitiva, offrendo possibilità elettive per coltivare le proprie potenzialità intellettive.)",Non la utilizzo,
